k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
S_J6;S_P15;66;110;258;130;24;30;16;0;1
S_J6;S_P4;66;34;258;130;24;60;16;0;0
S_J6;S_E2;66;17;258;21;24;64;16;4352;1
S_J6;S_E4;66;17;258;21;24;64;16;4352;1
S_J6;S_P38;66;34;258;130;24;54;16;0;1
S_J6;S_P37;66;34;258;130;24;64;16;0;1
S_J6;S_D3;66;130;258;66;24;62;16;4608;0
S_J6;S_P22;66;110;258;130;24;64;16;0;0
S_J6;S_D5;66;130;258;66;24;62;16;4608;0
S_J6;S_P40;66;34;258;130;24;64;16;0;1
S_J6;S_P19;66;110;258;130;24;38;16;0;1
S_J6;S_O3;66;258;258;66;24;32;16;0;1
S_J6;S_P9;66;110;258;130;24;64;16;0;0
S_I1;S_P15;66;110;258;130;16;30;0;0;1
S_I1;S_P4;66;34;258;130;16;60;0;0;1
S_I1;S_E2;66;17;258;21;16;64;0;4352;1
S_I1;S_E4;66;17;258;21;16;64;0;4352;1
S_I1;S_P38;66;34;258;130;16;54;0;0;1
S_I1;S_P37;66;34;258;130;16;64;0;0;1
S_I1;S_D3;66;130;258;66;16;62;0;4608;0
S_I1;S_P22;66;110;258;130;16;64;0;0;0
S_I1;S_D5;66;130;258;66;16;62;0;4608;1
S_I1;S_P40;66;34;258;130;16;64;0;0;1
S_I1;S_P19;66;110;258;130;16;38;0;0;0
R_J7;S_P15;125;110;34;130;16;30;4096;0;0
R_J7;S_P4;125;34;34;130;16;60;4096;0;1
R_J7;S_P5;125;110;34;130;16;52;4096;0;0
R_J7;S_E2;125;17;34;21;16;64;4096;4352;0
R_J7;S_E4;125;17;34;21;16;64;4096;4352;0
R_J7;S_P38;125;34;34;130;16;54;4096;0;0
R_J7;S_P16;125;110;34;130;16;35;4096;0;0
R_J7;S_P37;125;34;34;130;16;64;4096;0;0
R_J7;S_D3;125;130;34;66;16;62;4096;4608;0
R_J7;S_P22;125;110;34;130;16;64;4096;0;0
R_J7;S_D5;125;130;34;66;16;62;4096;4608;0
R_J7;S_P40;125;34;34;130;16;64;4096;0;0
R_J7;S_P19;125;110;34;130;16;38;4096;0;0
R_J7;S_O3;125;258;34;66;16;32;4096;0;0
R_J7;S_P9;125;110;34;130;16;64;4096;0;0
S_I2;S_P15;66;110;258;130;18;30;0;0;1
S_I2;S_P4;66;34;258;130;18;60;0;0;0
S_I2;S_P5;66;110;258;130;18;52;0;0;0
S_I2;S_E2;66;17;258;21;18;64;0;4352;1
S_I2;S_E4;66;17;258;21;18;64;0;4352;1
S_I2;S_P38;66;34;258;130;18;54;0;0;1
S_I2;S_P16;66;110;258;130;18;35;0;0;1
S_I2;S_P37;66;34;258;130;18;64;0;0;1
S_I2;S_D3;66;130;258;66;18;62;0;4608;0
S_I2;S_P22;66;110;258;130;18;64;0;0;1
S_I2;S_D5;66;130;258;66;18;62;0;4608;0
S_I2;S_P40;66;34;258;130;18;64;0;0;1
S_I2;S_P19;66;110;258;130;18;38;0;0;1
S_I2;S_O3;66;258;258;66;18;32;0;0;1
S_I2;S_P9;66;110;258;130;18;64;0;0;1
S_L1;S_P15;258;110;130;130;32;30;512;0;0
S_L1;S_E2;258;17;130;21;32;64;512;4352;1
S_L1;S_E4;258;17;130;21;32;64;512;4352;1
S_L1;S_P38;258;34;130;130;32;54;512;0;0
S_L1;S_P16;258;110;130;130;32;35;512;0;1
S_L1;S_P37;258;34;130;130;32;64;512;0;1
S_L1;S_O3;258;258;130;66;32;32;512;0;0
R_A2;S_P15;10002;110;258;130;26;30;0;0;0
R_A2;S_P4;10002;34;258;130;26;60;0;0;0
