k1_name;k2_name;classification;knn;logistic_regression;mlp;xgb
R_S4;S_J6;0;1;0;1;1
R_S4;S_I1;1;0;0;0;1
R_S4;R_J7;0;0;0;0;1
R_S4;R_B2;0;0;0;1;1
R_S4;P_C1;0;0;0;1;1
R_S4;S_K5;0;0;1;0;0
S_L8;P_E6;1;0;0;0;0
S_L8;R_J7;0;0;0;0;1
S_J5;P_E6;1;1;0;1;1
S_J5;R_J4;1;0;0;0;0
S_J5;R_B2;0;0;0;0;0
S_O2;P_E6;1;1;0;0;0
S_O2;R_J4;1;0;0;0;0
S_O2;R_J7;1;0;0;0;0
S_O4;S_J1;1;0;0;1;0
S_O4;P_C4;0;1;1;1;1
S_O4;P_E6;1;0;0;0;0
S_O4;R_J4;1;0;0;1;0
S_O4;S_J6;1;0;0;0;0
S_O4;S_I1;1;1;0;1;0
S_O4;R_J7;1;0;0;0;0
S_O4;R_B2;1;0;0;0;0
S_O4;P_C1;0;1;0;1;1
S_O4;S_K5;1;1;0;1;1
R_E2;P_E6;1;1;0;0;0
R_E2;R_A1;0;0;0;0;1
R_P1;P_E6;0;1;0;1;1
R_P1;R_J4;0;1;0;1;0
R_P1;R_J7;1;1;0;1;1
R_S3;S_P15;1;1;0;1;1
R_S3;S_P4;1;1;1;1;1
R_S3;S_P5;0;1;0;1;1
R_S3;S_P38;1;0;0;0;1
R_S3;S_P16;1;1;1;1;1
R_S3;S_P37;1;1;1;1;1
R_S3;S_D3;1;1;1;1;0
R_S3;S_P22;1;1;0;0;1
R_S3;S_D5;1;0;0;0;1
R_S3;S_P40;1;1;0;1;1
R_S3;S_P19;1;1;0;1;0
R_S3;S_P9;0;0;0;0;0
P_K1;S_P4;1;1;0;1;0
P_K1;S_P38;1;1;0;1;1
S_K4;S_P4;0;0;0;0;1
S_K1;S_P4;0;1;0;1;1
R_T1;S_P15;0;0;0;1;0
R_T1;S_P4;1;1;0;0;1
R_T1;S_P5;0;0;0;0;1
R_T1;S_P38;0;1;0;1;0
R_T1;S_P16;0;0;0;0;0
R_T1;S_P37;0;0;0;1;0
R_T1;S_D3;0;1;0;1;1
R_T1;S_P22;0;1;1;1;1
R_T1;S_D5;0;0;0;0;0
R_T1;S_P40;1;1;0;0;0
R_T1;S_P19;0;0;0;0;1
R_T1;S_P9;0;0;0;1;1
R_S4;S_P4;1;1;0;0;1
R_S4;S_P38;0;1;0;1;1
R_S4;S_P16;0;0;0;0;1
R_S4;S_P37;1;1;0;1;1
R_S4;S_P40;1;0;1;0;1
S_L8;S_P4;1;1;0;0;1
S_L8;S_P38;0;1;1;1;1
S_L8;S_P40;1;1;0;0;0
S_J5;S_P4;0;1;1;1;0
S_J5;S_P38;0;1;0;1;0
S_O2;S_P15;1;1;0;0;1
S_O2;S_P38;1;1;0;1;1
S_O2;S_P37;1;1;1;1;1
S_O2;S_O3;0;1;0;1;1
S_O2;S_P9;1;0;1;0;0
S_O4;S_P15;0;1;1;0;0
S_O4;S_P4;1;1;0;1;0
S_O4;S_P5;0;0;1;0;0
S_O4;S_P38;1;1;1;1;0
S_O4;S_P16;0;0;1;0;0
S_O4;S_P37;1;1;0;1;0
S_O4;S_D3;1;0;0;0;1
S_O4;S_P22;0;0;0;0;0
S_O4;S_D5;1;1;0;0;1
S_O4;S_P40;1;0;0;0;0
S_O4;S_P19;0;1;1;1;1
S_O4;S_O3;0;0;1;0;0
S_O4;S_P9;0;1;1;1;1
R_E2;S_P4;0;1;0;1;1
R_E2;S_P38;0;1;1;1;1
R_E2;S_P40;0;0;1;0;0
R_P1;S_P4;1;0;0;0;0
R_P1;S_P38;0;0;0;0;0
R_P1;S_P37;0;1;0;1;1
